title,price,cat_1,cat_2,cat_3,caracteristics,img_ref,target,dealer
Беговая дорожка UNIX ST-600X,52890,Беговые дорожки,Электрические беговые дорожки,UNIX,"Тип дорожки:для домашнего использования Скорость:0.8 – 14.8 км/ч Мощность двигателя:2 л.с. Shlümdenger Electric Пиковая мощность двигателя:2.8 л.с.Беговое полотно:двухслойное антискользящее покрытие (толщина 1.6 мм)Размер бегового полотна (Дх Ш):120 х 42 см Регулировка угла наклона:механическая 3 уровня Наклон бегового полотна:0-10 %Дека:16 мм.Система амортизации:6 плоских эластомеров (снижают нагрузку на позвоночник и суставы)Измерение пульса:сенсорные датчики на поручнях Консоль:диагональ 4.72 дюймов (12 см), голубая подсветка (LCD дисплей)Показания консоли:время, скорость, дистанция, калории, пульс Кол-во программ:15 Спецификации программ:3 ручной режим , 12 автоматических профилей, BODY-FAT программа Интеграция и Мультимедиа:USB, SD, AUX для аудионосителей (провод AUX в комплекте), 2 встроенных динамика Питание:сеть 220 Вольт Складывание:есть, гидравлическая система с функцией Easyhold Габариты (Дх Шх В):в рабочем состоянии 148 х 66 х 121 см.; в сложенном 77 х 66 х 131 см.; в упаковке 155 x 73 x 31 см.Вес:52 кг.; в упаковке 60 кг.Максимальный вес пользователя:120 кг.Рама:особопрочная с двухслойной покраской Дополнительные характеристики:транспортировочные ролики, управление на поручнях, инструмент для сборки, силиконовая смазка для бегового полотна Гарантия:2 года + 3 года на раму Производитель:UNIXFITTMСтрана изготовления:Китай",images/begovye_dorozhki/12_sportdoma_16651.jpeg,begovye_dorozhki,sportdoma
Беговая дорожка DFC BOSS II T-B2 Для реабилитации,59990,Беговые дорожки,Электрические беговые дорожки,DFC,"Тип дорожки:реабилитационная, электрическая Скорость:0,6 - 8 км/ч Мощность двигателя:2 л.с.Пиковая мощность двигателя:3 л.с.Размер бегового полотна (Дх Ш):91 х 40 см.Регулировка угла наклона:нет Дека:20 мм.Измерение пульса:нагрудный датчик DFC W117 (опция, приобретается отдельно)Консоль:большой LCD дисплей Показания консоли:скорость, расстояние, время, калории, температура Кол-во программ:нет Многоязычный интерфейс:английский Питание:сеть 220 Вольт Складывание:есть Габариты (Дх Шх В):в рабочем состоянии 130 х 71 х 130 см; в сложенном 93 х 71 х 130 см; в упаковке 142 х 81 х 36 см Вес:53 кг Максимальный вес пользователя:159 кг.Дополнительные характеристики:транспортировочные ролики, компенсаторы неровности пола Гарантия:1 год Производитель:DFC Страна изготовления:Китай",images/begovye_dorozhki/13_sportdoma_16514.jpeg,begovye_dorozhki,sportdoma
Беговая дорожка DFC BOSS I T-B1 Для реабилитации,67990,Беговые дорожки,Электрические беговые дорожки,DFC,"Тип дорожки:реабилитационная, электрическая Скорость:0,6 - 8 км/ч Мощность двигателя:2 л.с.Пиковая мощность двигателя:3 л.с.Размер бегового полотна (Дх Ш):100 х 51 см.Регулировка угла наклона:механическая Наклон бегового полотна:2 положения Дека:20 мм.Измерение пульса:сенсорные датчики на поручнях Консоль:большой LCD дисплей Показания консоли:скорость, расстояние, время, калории, пульс, температура Кол-во программ:нет Многоязычный интерфейс:английский Питание:сеть 220 Вольт Складывание:есть Габариты (Дх Шх В):в рабочем состоянии 114 х 70 х 128 см.;в сложенном 65 х 70 х 145 см; в упаковке 153 х 91,5 х 36 см Вес:нетто 56 кг.; брутто 64.5 кг.Максимальный вес пользователя:182 кг.Дополнительные характеристики:транспортировочные ролики, регулировка относительно уровня пола, держатель для бутылки, регулировка скорости на поручнях Гарантия:1 год Производитель:DFC Страна изготовления:Китай",images/begovye_dorozhki/14_sportdoma_16511.jpeg,begovye_dorozhki,sportdoma
Беговая дорожка UNIX MX-520R,60890,Беговые дорожки,Электрические беговые дорожки,UNIX,"Тип дорожки:для домашнего использования Скорость:0.8 – 14.8 км/ч Мощность двигателя:2 л.с. Shlümdenger Electric (переменный ток)Пиковая мощность двигателя:2.8 л.с.Беговое полотно:двухслойное антискользящее покрытие (толщина 1.6 мм)Размер бегового полотна (Дх Ш):120 х 42 см Регулировка угла наклона:электрическая Наклон бегового полотна:0-15%Дека:16 мм.Система амортизации:6 плоских эластомеров (снижают нагрузку на позвоночник и суставы)Измерение пульса:сенсорные датчики на поручнях Консоль:диагональ 4.72 дюймов (12 см), голубая подсветка (LCD дисплей)Показания консоли:время, скорость, дистанция, калории, пульс Кол-во программ:15 Спецификации программ:3 ручных режима , 12 автоматических профилей, BODY-FAT программа Многоязычный интерфейс:английский Интеграция и Мультимедиа:Bluetooth, USB, 2 встроенных динамика Питание:сеть 220 Вольт Складывание:есть, гидравлическая система с функцией Easyhold Габариты (Дх Шх В):в рабочем состоянии 1525х680х1270 мм.; в сложенном 800х660х1500 мм.; в упаковке 1555х725х310 мм.Вес:нетто 54 кг.; брутто 60 кг.Максимальный вес пользователя:130 кг.Рама:особопрочная с двухслойной покраской Дополнительные характеристики:подставка под планшет, транспортировочные ролики, силиконовая смазка, инструмент для сборки Гарантия:2 года + 3 года на раму Производитель:UNIXFITTMСтрана изготовления:Китай",images/begovye_dorozhki/16_sportdoma_17500.jpeg,begovye_dorozhki,sportdoma
Беговая дорожка UNIX MX-450V,62890,Беговые дорожки,Электрические беговые дорожки,UNIX,"Тип дорожки:для домашнего использования Скорость:0.8 – 14.8 км/ч Мощность двигателя:2 л.с. Shlümdenger Electric (переменный ток)Пиковая мощность двигателя:3.0 л.с.Беговое полотно:двухслойное антискользящее покрытие (толщина 1.6 мм)Размер бегового полотна (Дх Ш):120 х 42 см.Регулировка угла наклона:автоматическая Наклон бегового полотна:0 -15%Дека:16 мм.Система амортизации:6 плоских эластомеров (снижают нагрузку на позвоночник и суставы)Измерение пульса:сенсорные датчики на поручнях Консоль:диагональ 4.72 дюймов (12 см), голубая подсветка (LCD дисплей)Показания консоли:время, скорость, дистанция, калории, пульс Кол-во программ:15 Спецификации программ:3 ручной режим , 12 автоматических профилей, BODY-FAT программа Интеграция и Мультимедиа:USB, SD, AUX для аудионосителей (провод AUX в комплекте), 2 встроенных динамика Питание:сеть 220 Вольт Складывание:есть, гидравлическая система с функцией Easyhold Габариты (Дх Шх В):в рабочем состоянии 148 x 66 x 125 см.; в сложенном 89 х 66 х 125 см.; в упаковке 158 х 72,5 х 35 см.Вес:61 кг.; в упаковке 69 кг.Максимальный вес пользователя:130 кг.Рама:особопрочная с двухслойной покраской Дополнительные характеристики:транспортировочные ролики, управление на поручнях, инструмент для сборки, силиконовая смазка для бегового полотна Гарантия:2 года + 3 года на раму Производитель:UNIXFITTMСтрана изготовления:Китай",images/begovye_dorozhki/17_sportdoma_16652.jpeg,begovye_dorozhki,sportdoma
Беговая дорожка UNIX MX-570Z,67890,Беговые дорожки,Электрические беговые дорожки,UNIX,"Тип дорожки:для домашнего использования Скорость:0.8 – 16.8 км/ч Мощность двигателя:2,3 л.с. Shlümdenger Electric (переменный ток)Пиковая мощность двигателя:3.5 л.с.Беговое полотно:двухслойное антискользящее покрытие (толщина 1.6 мм)Размер бегового полотна (Дх Ш):125 х 45 см.Регулировка угла наклона:автоматическая Наклон бегового полотна:0 -15%Дека:16 мм.Система амортизации:8 плоских эластомеров (снижают нагрузку на позвоночник и суставы)Измерение пульса:сенсорные датчики на поручнях Консоль:диагональ 4.72 дюймов (12 см), голубая подсветка (LCD дисплей)Показания консоли:время, скорость, дистанция, калории, пульс Кол-во программ:15 Спецификации программ:3 ручной режим , 12 автоматических профилей, BODY-FAT программа Интеграция и Мультимедиа:USB, SD, AUX для аудионосителей (провод AUX в комплекте), 2 встроенных динамика Питание:сеть 220 Вольт Складывание:есть, гидравлическая система с функцией Easyhold Габариты (Дх Шх В):в рабочем состоянии 161 х 70 х 131 см.; в сложенном 104 х 70 х 133 см.; в упаковке 169 х 74 х 32,5 см.Вес:64 кг.; в упаковке 72 кг.Максимальный вес пользователя:130 кг.Рама:особопрочная с двухслойной покраской Дополнительные характеристики:транспортировочные ролики, управление на поручнях, инструмент для сборки, силиконовая смазка для бегового полотна Гарантия:2 года + 3 года на раму Производитель:UNIXFITTMСтрана изготовления:Китай",images/begovye_dorozhki/18_sportdoma_16653.jpeg,begovye_dorozhki,sportdoma
Беговая дорожка SportsArt T616,282937,Беговые дорожки,Электрические беговые дорожки,SportsArt,"Тип дорожки:профессиональная Скорость:0.2-16 км/ч Мощность двигателя:4 л.с. ECO-POWRTMРазмер бегового полотна (Дх Ш):148.3х51 см Регулировка угла наклона:электрическая Наклон бегового полотна:0-15%Система амортизации:MyFlex Измерение пульса:сенсорные датчики + возможность использования нагрудного кардио датчика Polar Консоль:Матричный LCD-дисплей Показания консоли:скорость, расход энергии, дистанция, темп, угол наклона Кол-во программ:15 Многоязычный интерфейс:английский Питание:сеть 220 Вольт Складывание:нет Габариты (Дх Шх В):196.5x97x139.6 см Вес:106 кг Максимальный вес пользователя:180 кг Гарантия:2 года Производитель:SportsArt (С Ш А)Страна изготовления:С Ш А",images/begovye_dorozhki/19_sportdoma_14863.jpeg,begovye_dorozhki,sportdoma
Беговая дорожка SportsArt T635,194770,Беговые дорожки,Электрические беговые дорожки,SportsArt,"Тип дорожки:профессиональная Скорость:0.1-19 км/ч Мощность двигателя:3.2 л.с. ECO-POWR TMРазмер бегового полотна (Дх Ш):147х51 см Регулировка угла наклона:электрическая Наклон бегового полотна:0-15%Измерение пульса:сенсорные датчики + возможность использования нагрудного кардио датчика Polar Консоль:Матричный дисплей Показания консоли:калории, скорость, время, расстояние, темп, наклон Кол-во программ:8 Многоязычный интерфейс:английский Питание:сеть 220 Вольт Складывание:нет Габариты (Дх Шх В):212x98x144 см Вес:137 кг Максимальный вес пользователя:180 кг Гарантия:2 года Производитель:SportsArt (С Ш А)Страна изготовления:С Ш А",images/begovye_dorozhki/20_sportdoma_14864.jpeg,begovye_dorozhki,sportdoma
"Беговая дорожка NordicTrack Elite 5000 (NETL40915) + к/пояс Polar + 15"" HDTV",299990,Беговые дорожки,Электрические беговые дорожки,NordicTrack,"Тип дорожки:для домашнего использования Скорость:0–24 км/ч QuickSpeedTM (Стартовая — 2 км/ч, можно снизить до 1 км/ч, шаг 0,1 км/ч)Мощность двигателя:5.0 CHP DurXTM Commercial Pro Размер бегового полотна (Дх Ш):152 х 55 см.Регулировка угла наклона:электрическая Наклон бегового полотна:-3 до +15% 1-TouchTM (регулировка в одно касание)Система амортизации:высококачественные амортизаторы Runners FlexTM Cushioning, с регулировкой демпфирования Flex Измерение пульса:монитор сердечного ритма Dual-Grip EKGTMTM с нагрудным датчиком Polar® (в комплекте)Консоль:10"" цветной тачскрин дисплей с веб браузером и операционной системой AndroidTMПоказания консоли:время тренировки, пройденная дистанция, пульс, калории, скорость, уровень подъема, тренеровочный профиль Кол-во программ:40 Спецификации программ:10 скоростных, 10 с наклоном, 11 высокоинтенсивных (совмещают скоростные тренировки и тренировки с наклоном) и 9 программ на снижение веса Специальные программные возможности:программы совместимы с технологией iFit LiveTMИнтеграция и Мультимедиа:15"" HD телевизор, аудиоразъём для iPod, аккустика Intermix AcousticsTM 3.0, iPod ® Совместимость Питание:сеть 220 Вольт Складывание:система складывания (SpaceSaver®), EasyLiftTM (обеспечивает легкость складывания)Габариты (Дх Шх В):в рабочем состоянии 193 х 95 х 187 cм.; в упаковке 225 х 97 х 62 см.Вес:145 кг.Максимальный вес пользователя:145 кг.Рама:усиленная Дополнительные характеристики:транспортировочные ролики, компенсаторы неровности пола, вентилятор AutoBreezeTM, полка для хранения бутылки с водой и различных устройств Гарантия:24 мес.Производитель:ICON (С Ш А)Страна изготовления:Китай",images/begovye_dorozhki/21_sportdoma_15853.jpeg,begovye_dorozhki,sportdoma
Беговая дорожка AMMITY PRO 7000,520000,Беговые дорожки,Электрические беговые дорожки,AMMITY,"Тип дорожки:профессиональная Скорость:0.8-22 км/ч (шаг регулировки 0,1 км.)Мощность двигателя:4.0 л.с. (переменный ток)Беговое полотно:2,4 мм., рельеф GeotunIndust2 Размер бегового полотна (Дх Ш):164 х 60 см.Регулировка угла наклона:электрическая Наклон бегового полотна:0 - 15°Дека:26 мм.Система амортизации:адаптивная система SnubberPROTM (5 зон и 10 высокотехнологичных эластомеров умеренной жесткости)Измерение пульса:датчики на рукоятках + кардиопояс(опция)Консоль:7"" EBTN LCD, дополнительный 8"" LED дисплей Показания консоли:время, скорость, дистанция, пульс, каллории, угол наклона Кол-во программ:49 Спецификации программ:10 предустановленных програм (40 подпрограм), 4 целевых (дистанция, калории, время, пульс), 2 пользовательских, фитнес тест, BMI Многоязычный интерфейс:русский Интеграция и Мультимедиа:встроенный модуль Bluetooth APP, поддержка iOS/ANDROID, USB Charger Питание:сеть 220 Вольт Складывание:нет Габариты (Дх Шх В):в рабочем состоянии 221,6 х 92,2 х 160,3 см.; в упаковке 228,5 х 101,2 х 51,2 см.Вес:176 кг.; в упаковке 198 кг.Максимальный вес пользователя:200 кг.Рама:усиленная Дополнительные характеристики:транспортировочные ролики, компенсаторы неровности пола, силиконовая смазка, контроль смазки Гарантия:3 года Производитель:AMMITY Страна изготовления:Тайвань",images/begovye_dorozhki/22_sportdoma_16225.jpeg,begovye_dorozhki,sportdoma
